employee_id,department,job_family,grade,gender,age_band,location,manager_id,tenure_years,base_salary,bonus_pct,performance_rating,hired_at,terminated_at,notes
E-01000,Engineering,Technical,L4,Male,18-24,Lisbon,E-01001,4.8,58900,11.9,Exceeds,2022-11-28,,On parental leave for part of 2024.
E-01001,Finance,Corporate,L4,Female,35-44,Berlin,E-01071,2.4,76600,18.2,Meets,2024-11-07,,Relocated to Lisbon; package adjusted to local band.
E-01002,Sales,Commercial,L7,Male,25-34,Remote (EU),E-01052,0.3,152700,16.5,Exceeds,2026-01-01,,Salary reviewed off-cycle after a competing offer.
E-01003,Engineering,Technical,L4,Female,35-44,Remote (EU),E-01015,3.2,66900,17.9,Meets,2023-09-20,2026-01-13,Salary reviewed off-cycle after a competing offer.
E-01004,Sales,Commercial,L3,Female,35-44,Warsaw,E-01114,1.6,37400,5.8,Below,2025-05-01,,Joined through the Legal acquisition.
E-01005,Engineering,Technical,L3,Male,25-34,Lisbon,E-01080,0.6,49900,7.8,Meets,2026-03-14,,Joined through the Legal acquisition.
E-01006,Engineering,Technical,L4,Female,25-34,Lisbon,E-01071,1.2,58200,18,Below,2025-10-26,,Relocated to Lisbon; package adjusted to local band.
E-01007,Support,Operations,L6,Male,35-44,Berlin,E-01038,1.3,138400,7,Below,2025-05-03,,Grade corrected during the 2020 levelling exercise.
E-01008,Support,Operations,L6,Male,25-34,Warsaw,E-01033,0.9,94000,15,Meets,2026-09-16,,Salary reviewed off-cycle after a competing offer.
E-01009,Support,Operations,L4,Female,25-34,Podgorica,E-01085,0.8,38800,13.8,Meets,2026-03-10,,Salary reviewed off-cycle after a competing offer.
E-01010,Engineering,Technical,L4,Male,25-34,Warsaw,E-01023,0.7,56700,10.1,Exceeds,2026-03-03,,
E-01011,Data,Technical,L5,Male,45-54,Podgorica,E-01083,2.7,56100,11.1,Meets,2024-09-15,,Grade corrected during the 2021 levelling exercise.
E-01012,Support,Operations,L3,Male,55-64,Remote (EU),E-01034,1.3,58300,11.4,Exceeds,2025-12-24,,Grade corrected during the 2023 levelling exercise.
E-01013,Engineering,Technical,L3,Female,18-24,Lisbon,E-01016,7.2,51000,18,Exceeds,2019-12-18,,Completed the internal leadership programme.
E-01014,Support,Operations,L5,Male,45-54,Remote (EU),E-01010,0.3,88100,16.1,Exceeds,2026-05-21,,On parental leave for part of 2020.
E-01015,Sales,Commercial,L5,Female,18-24,Berlin,E-01049,2.6,89800,13,Meets,2024-08-14,,
E-01016,Sales,Commercial,L3,Male,35-44,Podgorica,E-01094,0.6,38900,5.9,Outstanding,2026-03-04,,Completed the internal leadership programme.
E-01017,Sales,Commercial,L2,Male,18-24,Remote (EU),E-01038,1.9,40200,9.5,Below,2025-08-18,,Joined through the Marketing acquisition.
E-01018,Marketing,Commercial,L2,Female,45-54,Warsaw,E-01098,1.3,30800,12.3,Exceeds,2025-09-08,,On parental leave for part of 2019.
E-01019,People,Corporate,L1,Male,25-34,Berlin,E-01108,5.8,39300,3.5,Exceeds,2021-08-18,2025-10-13,
E-01020,Engineering,Technical,L3,Male,25-34,Remote (EU),E-01086,6.3,60800,14.2,Meets,2020-06-13,,Transferred from Data in 2019.
E-01021,Sales,Commercial,L2,Female,35-44,Lisbon,E-01099,2.6,40200,19.8,Meets,2024-03-14,,Relocated to Berlin; package adjusted to local band.
E-01022,Finance,Corporate,L3,Female,25-34,Warsaw,E-01100,1.5,37800,6.5,Exceeds,2025-08-01,,Relocated to Remote (EU); package adjusted to local band.
E-01023,Engineering,Technical,L7,Male,35-44,Berlin,E-01071,2.8,166100,8.3,Exceeds,2024-07-03,,Completed the internal leadership programme.
E-01024,Sales,Commercial,L4,Male,35-44,Remote (EU),E-01026,0.8,75600,8.7,Meets,2026-05-28,,
E-01025,Finance,Corporate,L1,Female,35-44,Lisbon,E-01015,2.9,30700,4,Exceeds,2024-07-14,,Completed the internal leadership programme.
